,Category,NR,WR,SR,ER,NER,Total,Date,TOTAL
0,Demand Met during Evening Peak hrs(MW),49812,59546,43076,20915,2698,,29.10.23,176047
1,Peak Shortage (MW),0,0,0,266,0,,29.10.23,266
2,Energy Met (MU),1101,1480,1152,449,50,,29.10.23,4233
3,Hydro Gen (MU),144,34,46,38,19,,29.10.23,281
4,Wind Gen (MU),6,29,41,-,-,,29.10.23,76
5,Solar Gen (MU),119.52,64.97,100.00,2.90,1.24,,29.10.23,289
6,Energy Shortage (MU),0.29,0.00,0.00,0.98,0.04,,29.10.23,1.31
7,Schedule(MU),184.8,-176.3,141.2,-146.5,-7.0,,29.10.23,-3.7
8,Actual(MU),176.3,-154.8,163.9,-187.9,-4.4,,29.10.23,-6.9
9,O/D/U/D(MU),-8.5,21.4,22.7,-41.4,2.5,,29.10.23,-3.2
10,Central,6838,8569,4068,3491,205,,29.10.23,23170
11,State,6596,10326,3036,1470,121,,29.10.23,21548
12,Coal,669,1569,711,651,14,,29.10.23,3615
13,Lignite,28,11,62,0,0,,29.10.23,101
14,Hydro,144,34,46,38,19,,29.10.23,281
15,Nuclear,15,53,71,0,0,,29.10.23,139
0,Demand Met during Evening Peak hrs(MW),45268,50510,42472,20046,2571,,30.04.23,160867
1,Peak Shortage (MW),0,0,0,443,32,,30.04.23,475
2,Energy Met (MU),1047,1201,1037,490,48,,30.04.23,3824
3,Hydro Gen (MU),176,17,50,41,15,,30.04.23,298
4,Wind Gen (MU),8,60,34,-,-,,30.04.23,102
5,Solar Gen (MU),99.62,51.48,116.33,5.15,1.10,,30.04.23,274
6,Energy Shortage (MU),0.89,0.00,0.00,4.02,1.30,,30.04.23,6.21
7,Schedule(MU),135.9,-183.7,148.1,-97.4,-2.9,,30.04.23,0.0
8,Actual(MU),127.5,-176.0,150.4,-102.9,-2.3,,30.04.23,-3.4
9,O/D/U/D(MU),-8.5,7.7,2.3,-5.5,0.6,,30.04.23,-3.4
10,Central,5517,9631,4908,1370,425,,30.04.23,21851
11,State,9852,14062,4901,1390,264,,30.04.23,30469
12,Coal,640,1300,605,629,11,,30.04.23,3184
13,Lignite,23,20,49,0,0,,30.04.23,92
14,Hydro,176,17,50,41,15,,30.04.23,298
15,Nuclear,29,33,69,0,0,,30.04.23,131
0,Demand Met during Evening Peak hrs(MW),65241,51919,47057,24794,3031,,30.06.23,192042
1,Peak Shortage (MW),0,0,0,0,13,,30.06.23,13
2,Energy Met (MU),1441,1198,1112,500,60,,30.06.23,4311
3,Hydro Gen (MU),396,38,38,130,23,,30.06.23,625
4,Wind Gen (MU),29,176,214,-,-,,30.06.23,419
5,Solar Gen (MU),126.42,37.22,115.61,2.45,0.89,,30.06.23,283
6,Energy Shortage (MU),0.11,0.00,0.00,0.34,1.16,,30.06.23,1.61
7,Schedule(MU),306.5,-216.3,56.1,-153.3,7.0,,30.06.23,0.0
8,Actual(MU),257.9,-201.9,82.7,-152.0,9.2,,30.06.23,-4.1
9,O/D/U/D(MU),-48.7,14.3,26.6,1.3,2.3,,30.06.23,-4.1
10,Central,4689,14176,5868,1985,818,,30.06.23,27536
11,State,8445,16443,5220,2040,261,,30.06.23,32408
12,Coal,630,1186,601,564,12,,30.06.23,2993
13,Lignite,26,12,55,0,0,,30.06.23,93
14,Hydro,396,38,38,130,23,,30.06.23,625
15,Nuclear,29,47,50,0,0,,30.06.23,127
0,Demand Met during Evening Peak hrs(MW),68237,52176,43816,27529,3161,,30.07.23,194919
1,Peak Shortage (MW),0,0,0,132,19,,30.07.23,151
2,Energy Met (MU),1459,1200,1012,607,65,,30.07.23,4342
3,Hydro Gen (MU),444,69,73,137,34,,30.07.23,757
4,Wind Gen (MU),29,209,229,-,-,,30.07.23,466
5,Solar Gen (MU),120.32,43.88,111.13,1.94,1.17,,30.07.23,278
6,Energy Shortage (MU),0.08,0.00,0.00,0.31,0.49,,30.07.23,0.88
7,Schedule(MU),266.5,-244.2,25.5,-39.6,-8.1,,30.07.23,0.0
8,Actual(MU),252.0,-243.9,27.4,-35.0,-6.6,,30.07.23,-6.1
9,O/D/U/D(MU),-14.5,0.3,1.9,4.6,1.5,,30.07.23,-6.1
10,Central,5899,12031,6648,2885,271,,30.07.23,27734
11,State,7915,17843,9213,2740,180,,30.07.23,37891
12,Coal,623,1156,484,566,13,,30.07.23,2842
13,Lignite,22,7,56,0,0,,30.07.23,85
14,Hydro,444,69,73,137,34,,30.07.23,757
15,Nuclear,29,50,64,0,0,,30.07.23,143
0,Demand Met during Evening Peak hrs(MW),71295,59337,45817,26601,3002,,30.08.23,206052
1,Peak Shortage (MW),170,30,2098,1151,559,,30.08.23,4008
2,Energy Met (MU),1668,1497,1234,609,65,,30.08.23,5073
3,Hydro Gen (MU),366,110,120,139,40,,30.08.23,775
4,Wind Gen (MU),16,71,60,-,-,,30.08.23,147
5,Solar Gen (MU),138.01,58.30,115.37,5.90,1.51,,30.08.23,319
6,Energy Shortage (MU),7.90,18.40,12.80,17.29,3.83,,30.08.23,60.22
7,Schedule(MU),260.4,-282.3,160.2,-124.6,-13.7,,30.08.23,0.0
8,Actual(MU),221.8,-284.0,190.9,-117.6,-11.5,,30.08.23,-0.3
9,O/D/U/D(MU),-38.6,-1.7,30.7,7.0,2.2,,30.08.23,-0.3
10,Central,2177,9979,5758,2100,315,,30.08.23,20328
11,State,4645,11973,6338,3500,254,,30.08.23,26709
12,Coal,914,1519,691,651,15,,30.08.23,3790
13,Lignite,24,13,39,0,0,,30.08.23,76
14,Hydro,366,110,120,139,40,,30.08.23,775
15,Nuclear,26,53,51,0,0,,30.08.23,131
0,Demand Met during Evening Peak hrs(MW),65538,57592,44629,22770,3127,,30.09.23,193656
1,Peak Shortage (MW),100,0,0,0,115,,30.09.23,215
2,Energy Met (MU),1508,1320,1093,519,68,,30.09.23,4507
3,Hydro Gen (MU),234,75,59,100,25,,30.09.23,495
4,Wind Gen (MU),14,54,154,-,-,,30.09.23,223
5,Solar Gen (MU),127.78,59.22,103.04,5.20,1.08,,30.09.23,296
6,Energy Shortage (MU),1.79,0.00,0.00,1.80,1.09,,30.09.23,4.68
7,Schedule(MU),321.5,-241.6,55.2,-140.2,5.2,,30.09.23,0.0
8,Actual(MU),327.8,-250.4,62.4,-150.1,9.2,,30.09.23,-1.0
9,O/D/U/D(MU),6.3,-8.8,7.3,-9.9,4.0,,30.09.23,-1.0
10,Central,3749,12374,4678,1530,505,,30.09.23,22835
11,State,5441,10908,6182,3010,240,,30.09.23,25780
12,Coal,808,1401,648,629,15,,30.09.23,3501
13,Lignite,33,15,36,0,0,,30.09.23,84
14,Hydro,234,75,59,100,25,,30.09.23,495
15,Nuclear,30,53,71,0,0,,30.09.23,155
0,Demand Met during Evening Peak hrs(MW),53254,62389,47244,22068,2811,,30.10.23,187766
1,Peak Shortage (MW),580,0,0,477,0,,30.10.23,1057
2,Energy Met (MU),1148,1515,1157,461,51,,30.10.23,4332
3,Hydro Gen (MU),144,44,57,45,19,,30.10.23,309
4,Wind Gen (MU),7,49,41,-,-,,30.10.23,97
5,Solar Gen (MU),112.02,61.91,96.22,2.64,1.28,,30.10.23,274
6,Energy Shortage (MU),2.66,0.00,0.00,1.34,0.00,,30.10.23,4.00
7,Schedule(MU),190.3,-186.6,160.4,-161.4,-5.0,,30.10.23,-2.2
8,Actual(MU),188.5,-163.5,165.3,-190.4,-5.5,,30.10.23,-5.6
9,O/D/U/D(MU),-1.8,23.0,4.9,-29.0,-0.5,,30.10.23,-3.4
10,Central,6838,9769,4208,4151,205,,30.10.23,25170
11,State,6796,8757,2906,1370,121,,30.10.23,19950
12,Coal,708,1584,707,672,15,,30.10.23,3686
13,Lignite,28,12,63,0,0,,30.10.23,102
14,Hydro,144,44,57,45,19,,30.10.23,309
15,Nuclear,15,53,71,0,0,,30.10.23,139
0,Demand Met during Evening Peak hrs(MW),54832,61074,47138,26131,3424,,31.05.23,192599
1,Peak Shortage (MW),0,0,0,214,24,,31.05.23,238
2,Energy Met (MU),1186,1443,1135,610,67,,31.05.23,4441
3,Hydro Gen (MU),251,52,57,61,11,,31.05.23,431
4,Wind Gen (MU),14,106,53,-,-,,31.05.23,172
5,Solar Gen (MU),136.68,68.20,123.51,2.85,1.37,,31.05.23,333
6,Energy Shortage (MU),0.11,0.95,0.00,6.26,1.39,,31.05.23,8.71
7,Schedule(MU),116.7,-228.6,128.2,-32.3,16.2,,31.05.23,0.2
8,Actual(MU),55.9,-212.8,154.7,-23.7,20.6,,31.05.23,-5.3
9,O/D/U/D(MU),-60.8,15.8,26.5,8.6,4.4,,31.05.23,-5.5
10,Central,3537,10251,5578,930,434,,31.05.23,20730
11,State,6770,13099,2578,2250,241,,31.05.23,24938
12,Coal,716,1481,708,653,14,,31.05.23,3571
13,Lignite,18,16,44,0,0,,31.05.23,78
14,Hydro,251,52,57,61,11,,31.05.23,431
15,Nuclear,30,36,46,0,0,,31.05.23,112
0,Demand Met during Evening Peak hrs(MW),71785,54963,47082,26938,3376,,31.07.23,204144
1,Peak Shortage (MW),210,0,0,377,17,,31.07.23,604
2,Energy Met (MU),1591,1262,1087,621,67,,31.07.23,4628
3,Hydro Gen (MU),442,81,92,131,34,,31.07.23,780
4,Wind Gen (MU),31,215,246,-,-,,31.07.23,493
5,Solar Gen (MU),127.48,45.31,104.63,2.07,1.19,,31.07.23,281
6,Energy Shortage (MU),0.77,0.00,0.00,1.00,0.38,,31.07.23,2.15
7,Schedule(MU),301.6,-285.2,53.7,-63.0,-7.1,,31.07.23,0.0
8,Actual(MU),281.0,-299.2,70.8,-49.0,-3.5,,31.07.23,0.1
9,O/D/U/D(MU),-20.6,-14.0,17.1,14.1,3.6,,31.07.23,0.1
10,Central,2626,10739,5848,3385,271,,31.07.23,22869
11,State,6150,16961,10288,3090,231,,31.07.23,36719
12,Coal,718,1233,484,608,13,,31.07.23,3056
13,Lignite,25,8,55,0,0,,31.07.23,87
14,Hydro,442,81,92,131,34,,31.07.23,780
15,Nuclear,29,50,64,0,0,,31.07.23,143
0,Demand Met during Evening Peak hrs(MW),72504,64346,45977,26563,3089,,31.08.23,212479
1,Peak Shortage (MW),1794,2976,1071,912,565,,31.08.23,7318
2,Energy Met (MU),1691,1530,1216,622,67,,31.08.23,5126
3,Hydro Gen (MU),362,112,114,137,39,,31.08.23,764
4,Wind Gen (MU),21,52,54,-,-,,31.08.23,127
5,Solar Gen (MU),141.14,59.70,115.69,2.58,1.26,,31.08.23,320
6,Energy Shortage (MU),22.30,40.94,11.61,10.62,4.62,,31.08.23,90.09
7,Schedule(MU),275.5,-278.9,133.5,-117.9,-12.2,,31.08.23,0.0
8,Actual(MU),236.5,-276.3,152.9,-110.9,-11.0,,31.08.23,-8.8
9,O/D/U/D(MU),-39.1,2.6,19.4,7.0,1.2,,31.08.23,-8.8
10,Central,1831,9114,5258,1900,255,,31.08.23,18357
11,State,3785,8728,4038,4100,167,,31.08.23,20818
12,Coal,915,1555,711,654,17,,31.08.23,3852
13,Lignite,24,13,40,0,0,,31.08.23,77
14,Hydro,362,112,114,137,39,,31.08.23,764
15,Nuclear,29,54,62,0,0,,31.08.23,144
0,Demand Met during Evening Peak hrs(MW),53662,62406,47744,22134,2901,,31.10.23,188847
1,Peak Shortage (MW),110,0,0,528,0,,31.10.23,638
2,Energy Met (MU),1171,1522,1164,469,53,,31.10.23,4378
3,Hydro Gen (MU),148,47,56,45,18,,31.10.23,315
4,Wind Gen (MU),22,46,35,-,-,,31.10.23,104
5,Solar Gen (MU),102.26,61.68,96.90,2.71,1.28,,31.10.23,265
6,Energy Shortage (MU),0.75,0.00,0.00,1.13,0.00,,31.10.23,1.88
7,Schedule(MU),188.1,-172.6,152.7,-165.5,-1.6,,31.10.23,1.1
8,Actual(MU),190.6,-166.3,158.5,-184.3,-3.0,,31.10.23,-4.5
9,O/D/U/D(MU),2.5,6.3,5.8,-18.8,-1.5,,31.10.23,-5.6
10,Central,6063,9769,4208,3821,205,,31.10.23,24065
11,State,6351,8425,2406,2630,121,,31.10.23,19933
12,Coal,730,1594,730,673,16,,31.10.23,3743
13,Lignite,26,13,62,0,0,,31.10.23,102
14,Hydro,148,47,56,45,18,,31.10.23,315
15,Nuclear,15,53,71,0,0,,31.10.23,139
